age_ka,dT,dT_minus_1s,dT_plus_1s
-0.063,2.1,1.5,2.8
-0.055,1.9,1.4,2.6
-0.047,2.0,1.4,2.7
-0.04,1.9,1.3,2.6
-0.032,1.7,1.2,2.4
-0.021,1.5,1.0,2.1
-0.009,1.3,0.8,1.9
0.015,0.0,-0.4,0.5
0.037,0.2,-0.2,0.7
0.075,0.3,-0.1,0.8
0.11,0.0,-0.5,0.4
0.15,0.1,-0.3,0.6
0.19,-0.4,-0.9,0.0
0.3,-0.7,-1.2,-0.2
0.63,-0.5,-1.0,-0.1
1.24,-1.1,-1.7,-0.6
1.515,-0.7,-1.3,-0.3
1.785,-0.7,-1.2,-0.3
2.065,-1.1,-1.7,-0.7
2.32,-0.7,-1.3,-0.3
2.565,-0.7,-1.2,-0.3
2.81,-0.9,-1.5,-0.5
3.05,-1.0,-1.6,-0.5
3.295,-1.0,-1.6,-0.5
3.55,-0.4,-0.9,0.0
3.865,-0.6,-1.2,-0.2
4.14,-0.9,-1.5,-0.5
4.38,-0.1,-0.6,0.3
4.615,-0.5,-1.0,-0.1
4.855,-0.5,-1.0,-0.1
5.09,-0.4,-0.9,0.0
5.33,-0.2,-0.7,0.2
5.565,-0.4,-0.9,0.0
5.805,-0.2,-0.6,0.2
6.04,-0.9,-1.4,-0.4
6.305,-0.2,-0.7,0.2
6.44,0.1,-0.3,0.6
6.635,0.3,-0.1,0.8
6.77,0.3,-0.1,0.8
6.97,0.2,-0.2,0.7
7.1,0.1,-0.4,0.5
7.3,0.0,-0.4,0.5
7.405,0.1,-0.3,0.6
7.52,0.3,-0.1,0.8
7.6,0.4,0.0,0.9
7.715,0.3,-0.1,0.8
7.795,0.2,-0.2,0.7
7.91,0.2,-0.2,0.7
7.99,0.2,-0.2,0.7
8.105,0.3,-0.1,0.8
8.185,0.3,-0.1,0.8
8.305,0.3,-0.1,0.7
8.39,0.3,-0.1,0.7
8.515,0.2,-0.2,0.7
8.595,0.2,-0.3,0.6
8.64,0.2,-0.2,0.7
8.805,0.4,0.0,0.9
9.015,0.0,-0.4,0.5
9.225,0.1,-0.3,0.6
9.435,-0.1,-0.6,0.3
9.61,0.4,0.0,0.9
9.73,0.0,-0.4,0.5
9.92,-0.1,-0.6,0.3
10.145,-0.5,-1.0,-0.1
10.37,0.5,0.1,1.0
10.445,-0.3,-0.8,0.1
10.48,-1.1,-1.7,-0.6
10.52,-1.0,-1.6,-0.6
11.4,-1.2,-1.8,-0.7
