Year,area_kha
1952,0.3661911263
1953,0.92443219862
1954,0.42675867450000005
1955,0.0
1956,0.0
1957,26.5918985092
1958,1.2423907072
1959,0.2698337194
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,25.278539393099997
1967,39.689881182600004
1968,0.7542488758000001
1969,8.313915447
1970,0.0
1971,1.1121549769999999
1972,6.6330784786
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,1.2144960299
1978,0.13114004750000002
1979,0.0
1980,0.0
1981,0.0
1982,1.5384179980000001
1983,1.3300913422999998
1984,0.0
1985,0.0
1986,14.733785993795399
1987,0.0
1988,0.0
1989,16.170048626
1990,0.45673436364000003
1991,26.10839181914
1992,0.0
1993,0.0
1994,5.638468977525
1995,1.837803121162
1996,0.06786084746400001
1997,0.05706608473
1998,0.6218830621
1999,81.82874842853501
2000,0.006488206194
2001,14.498830909999999
2002,0.2066168298
2003,6.9198835248009996
2004,154.77567594327
2005,28.934078157128
2006,9.37922566624
2007,1.091448960435
2008,0.0
2009,31.032967525177998
2010,1.62146242
2011,2.5418818649999997
2012,0.7370318051
2013,9.601650505181999
2014,0.0
2015,1.288889328
2016,0.2776045626
2017,12.5368380144378
2018,4.423338876
2019,23.8133825374
2020,0.0
2021,6.6031480277000005
2022,0.177171736295
2023,2.39286893586
2024,5.091805290022
2025,37.520653377681995
