Year_before_1950,dT,dT_minus_1s,dT_plus_1s
-63,2.1,1.5,2.8
-55,1.9,1.4,2.6
-47,2.0,1.4,2.7
-40,1.9,1.3,2.6
-32,1.7,1.2,2.4
-21,1.5,1.0,2.1
-9,1.3,0.8,1.9
15,0.0,-0.4,0.5
37,0.2,-0.2,0.7
75,0.3,-0.1,0.8
110,0.0,-0.5,0.4
150,0.1,-0.3,0.6
190,-0.4,-0.9,0.0
300,-0.7,-1.2,-0.2
630,-0.5,-1.0,-0.1
1240,-1.1,-1.7,-0.6
1515,-0.7,-1.3,-0.3
1785,-0.7,-1.2,-0.3
2065,-1.1,-1.7,-0.7
2320,-0.7,-1.3,-0.3
2565,-0.7,-1.2,-0.3
2810,-0.9,-1.5,-0.5
3050,-1.0,-1.6,-0.5
3295,-1.0,-1.6,-0.5
3550,-0.4,-0.9,0.0
3865,-0.6,-1.2,-0.2
4140,-0.9,-1.5,-0.5
4380,-0.1,-0.6,0.3
4615,-0.5,-1.0,-0.1
4855,-0.5,-1.0,-0.1
5090,-0.4,-0.9,0.0
5330,-0.2,-0.7,0.2
5565,-0.4,-0.9,0.0
5805,-0.2,-0.6,0.2
6040,-0.9,-1.4,-0.4
6305,-0.2,-0.7,0.2
6440,0.1,-0.3,0.6
6635,0.3,-0.1,0.8
6770,0.3,-0.1,0.8
6970,0.2,-0.2,0.7
7100,0.1,-0.4,0.5
7300,0.0,-0.4,0.5
7405,0.1,-0.3,0.6
7520,0.3,-0.1,0.8
7600,0.4,0.0,0.9
7715,0.3,-0.1,0.8
7795,0.2,-0.2,0.7
7910,0.2,-0.2,0.7
7990,0.2,-0.2,0.7
8105,0.3,-0.1,0.8
8185,0.3,-0.1,0.8
8305,0.3,-0.1,0.7
8390,0.3,-0.1,0.7
8515,0.2,-0.2,0.7
8595,0.2,-0.3,0.6
8640,0.2,-0.2,0.7
8805,0.4,0.0,0.9
9015,0.0,-0.4,0.5
9225,0.1,-0.3,0.6
9435,-0.1,-0.6,0.3
9610,0.4,0.0,0.9
9730,0.0,-0.4,0.5
9920,-0.1,-0.6,0.3
10145,-0.5,-1.0,-0.1
10370,0.5,0.1,1.0
10445,-0.3,-0.8,0.1
10480,-1.1,-1.7,-0.6
10520,-1.0,-1.6,-0.6
11400,-1.2,-1.8,-0.7
12490,-2.0,-2.7,-1.4
13585,-2.5,-3.2,-1.8
